status,Historical,Sports,Romance,Supernatural,Scifi,Comedy,Yuri,Yaoi,SliceofLife,Harem,Josei,Fantasy,Horror,Smut,Shoujo,Lolicon,ShoujoAi,Ecchi,Tragedy,Adult,Mystery,ShounenAi,Shotacon,genres,Drama,Mature,MartialArts,Action,Seinen,GenderBender,Adventure,title,Shounen,Psychological,Mecha,synopsis,num_vol,baka_url,SchoolLife,Hentai,Doujinshi
Complete,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"Harem, Romance, SchoolLife, Shoujo",0,0,0,0,0,0,0,Akarui Kazoku Keikaku,0,0,0,"From A cute story about Honoka and the guys she has to live with (a pair of twins in kindergarten, a junior high student, a high school student, a college student) as well as the other guys she meets in school. Honoka is generally a sweet, naive girl which draws an assortment of guys who instinctively want to protect her and maybe become her boyfriend... ^^; ",10,http://www.mangaupdates.com/series.html?id=2617,1,0,0
Complete,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Drama, Harem, Romance, SchoolLife, Shounen",1,0,0,0,0,0,0,Akaneiro ni Somaru Saka,1,0,0,"In order to protect the girl Yuuhi Katagiri, a new transfer student, from danger, Junichi Nagase is forced to kiss her. Not understanding what just happened, she yells at him, not knowing that her father has arranged for her to marry him. ",2,http://www.mangaupdates.com/series.html?id=33452,1,0,0
Complete,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Harem, Romance, SchoolLife, Shounen, Supernatural",0,0,0,0,0,0,0,Aizawa-san Zoushoku,1,0,0,"Mizutani Souta is confessed to by the school's famous frail beauty Aizawa Shino. Then came another one of her! And another! And another! Each with different attitudes, but all of them are Aizawa Shino herself. What will this sort-of harem love story come to!? Another tsukkomi-all-you-can offering from the creator of Fujimura-kun Mates! ",5,http://www.mangaupdates.com/series.html?id=106127,1,0,0
Complete,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Adult, Comedy, Harem, Hentai, Shotacon",0,0,0,0,0,0,0,Ane Ane Mix,0,0,0,"Handsome gentle Naoyuki has been left in the care of his Aunt Nanase, who has some pretty exotic ideas of how he should be raised. (And she being called ""Aunt."") But her treatment of Naoyuki is a notorious open secret, and many girls want to free their beloved Naoyuki from her dominance--for themselves! His oh-so-innocent student body president with a hair-trigger temper is also his romantic yet determined childhood friend. Even his soft-spoken sensei will do anything to help him do better in school! Add in the school girls volleyball team, the school pro-wrestling club and an all-out showdown between his ""girlfriends"" and you better pray this boy gets a ""20"" on his Stamina roll... ",1,http://www.mangaupdates.com/series.html?id=28489,0,1,0
Complete,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"Comedy, Harem, Shoujo",0,0,0,0,0,0,0,Bookstore Ikemen,0,0,0,N/A ,1,http://www.mangaupdates.com/series.html?id=13531,0,0,0
Ongoing,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Comedy, Ecchi, Harem, Romance, SchoolLife, Shounen",0,0,0,0,0,0,0,Boku no Kanojo ga Majime Sugiru Shojo Bitch na Ken,1,0,0,"After Shinozaki Haruka confesses to the Class Rep, Kousaka Akiho, he comes to find that the perfect class representative might be a little bit harder to handle than he previously thought! ",5,http://www.mangaupdates.com/series.html?id=128289,1,0,0
Complete,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,"Fantasy, Harem, Romance, Shoujo",0,0,0,0,0,0,0,Angelique,0,0,0,"From Manga Art: The Cosmos is ruled by a holy queen who guides and watches over the movement of the stars. By balancing elemental forces with the help of nine Guardians, she keeps the planets stable and the people content...However, the power of the queen is fading and a new queen must be appointed. Two girls are selected to be the queen candidates: Rosalia de Catargena who comes from a noble family in one of the main domains and the main character, Angelique Limoges, a seemingly ordinary girl. Will Angelique become the holy queen? Or will she fall in love with one of the many handsome Guardians and forfeit her candidacy? ",11,http://www.mangaupdates.com/series.html?id=3580,0,0,0
Complete,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"Comedy, Harem, Romance, SchoolLife, Shoujo, Sports",0,0,0,0,0,0,0,Gokuraku Doumei,0,0,0,"With her father having disappeared and her mother lying in a coma at the hospital, Homare inherits the responsibilities of the family hot springs inn. But where did all these guys come from to help out? And what will happen to the firm rule of no love?! ",4,http://www.mangaupdates.com/series.html?id=5629,1,0,0
Complete,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Adult, Comedy, Harem, Hentai, Romance, Shotacon",0,0,0,0,0,0,0,Ane Hagu!,0,0,0,Collection of 11 Stories / Oneshots. 1. 2. 3. 4. 5. Ane Hug BunnyTime 6. Oshikake Imouto! 「オシカケいもうと！」 7. Ueitoresu-san Itadakimasu 「ウェイトレスさんいただきます」 8. Shinjin-kun to Yobanaide! 「新人クンと呼ばないで！」 9. Watashi no Otoko no Musume♥ 「ワタシの男の娘♥」 10. After-School Fumie Sensei 11. Oneechan Kyu~Sekkin!' 「お姉ちゃんキュ～接近！」 ,1,http://www.mangaupdates.com/series.html?id=83955,0,1,0
Ongoing,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"Harem, Historical, Romance, Shoujo",0,0,0,0,0,0,0,Harutsuge to Yuki Musuko,0,0,0,N/A ,1,http://www.mangaupdates.com/series.html?id=145596,0,0,0
Complete,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,"Action, Comedy, Drama, Ecchi, Harem, Mature, Romance, SchoolLife, Scifi, Seinen, Tragedy",1,1,0,1,1,0,0,Gokukoku no Brynhildr,0,0,0,"When he was a child, Murakami was infatuated with a girl he called Kuroneko. She insisted on knowing about aliens and having met them, but no one believed her, even young Murakami was skeptical. One day, she decides to show him the aliens, but an accident occurs and Kuroneko dies while Murakami is left seriously wounded in the hospital. Years go by and Murakami obsesses on finding proof of the existence of aliens because of a promise he had made with Kuroneko. Then, one day, a new transfer student comes to his class, who not only looks a lot like Kuroneko but is named Kuroha Neko. And even though she insists on never having met Murakami before, the girl has superhuman strength and seems to even be able to predict the future! How will Murakami's life change now that he has been saved by this mysterious girl that claims to be a magician? ",18,http://www.mangaupdates.com/series.html?id=72810,1,0,0
Complete,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Ecchi, Harem, Romance, Scifi, Seinen",0,0,0,0,1,0,0,"Hashire, Ute!",0,0,0,N/A ,2,http://www.mangaupdates.com/series.html?id=63567,0,0,0
Ongoing,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,"Fantasy, Harem, Romance, Shoujo",0,0,0,0,0,0,0,Harukanaru Jikuu no Naka de 6,0,0,0,"From Transcendence Azusa, a normal high school girl, fell down the stairs while visiting her grandmother in the hospital two months ago. When she awoke, she was surrounded by people speaking of ""The Priestess of the Dragon God,"" ""The Imperial Capital,"" and ""The Taisho (Era)."" The legend starts again with this work, commemorating the 15th anniversary of the Haruka series! ",3,http://www.mangaupdates.com/series.html?id=119972,0,0,0
Complete,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Comedy, Ecchi, Harem, Romance, Shounen",0,0,0,0,0,0,0,Hatoko-san to Rabukome,1,0,0,"It tells the life story of Hayato Heiwajima ordinary guy occupation is the main successor of his grandfather and Heiwajima industries, the Maid Hatoko Heiwajima and close relative, is responsible to teach you how to deal with females and is not so easily fooled. The problem is that her teaching methods go beyond the ordinary. ",1,http://www.mangaupdates.com/series.html?id=89445,0,0,0
Complete,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,"Adventure, Fantasy, Harem, Romance, Shoujo",0,0,0,0,0,0,1,Harukanaru Jikuu no Naka de 4,0,0,0,"Ashihara Chihiro is a regular high school student. One day a man came to her and told her that she's actually a princess from another country in another dimension. Chihiro later found out that it was true, and in fact her own best friend and teacher were actually her guardians! Her country has been taken over by Raja, who is now king. Chihiro and her guardians come back to that dimension to take back their country. In her quest, Chihiro met other guardians and warriors who were willing to help her achieve her goal. ",1,http://www.mangaupdates.com/series.html?id=40570,0,0,0
Complete,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,"Adventure, Fantasy, Harem, Historical, Romance, Shoujo",0,0,0,0,0,0,1,Harukanaru Jikuu no Naka de,0,0,0,"From Viz: Akane is your typical teenage girl...until she swallows the Dragon Jewels, which transport her to the Heian period of ancient Japan! There in the capital city, Akane learns that she has been foreordained to lead the people as the Priestess of the Dragon God! ",17,http://www.mangaupdates.com/series.html?id=257,0,0,0
Complete,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,"Harem, Romance, Shoujo, Smut",0,0,0,0,0,0,0,Kanjiru Special Order,0,0,0,"From : Himawari Mansion, a cafe that gathers all the beautiful people, is popular with all the ladies. If you like it, you will be shown to the secret room for more service. Rei, an excited girl, met her destined person when she went to the cafe! She felt it when they briefly touched. But the other party, Sou, was very cool about it. When she finally makes her move, she becomes the gatecrashing employee...?! ",1,http://www.mangaupdates.com/series.html?id=11733,0,0,0
Complete,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Adult, Comedy, Harem, Romance, Seinen",0,0,0,0,1,0,0,Haruichiban,0,0,0,"After being accepted into college, Kazumi starts his college life by living with his distant relatives. He had to succeed in college for his grandmother who raised him by herself. What he finds out when he gets to the new house is that he will have to live with 4 girls, each seeking to win his heart. Will he be able to concentrate on his schooling with four girls constantly all over him? ",1,http://www.mangaupdates.com/series.html?id=16856,0,0,0
Complete,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Drama, Harem, Romance, SchoolLife, Shounen, Supernatural",1,0,0,0,0,0,0,Kannagi,1,0,0,"Our unlucky protagonist, Jin, uses the trunk of a sacred tree to carve a statue for a school project. When he takes it outside, to his surprise it begins absorbing the surrounding earth and transforms into...a girl! So naturally this guardian deity is pretty pissed that her tree was cut down, and lives with Jin while she takes out her anger by squashing bugs...er, cleaning the ""Impurities"". ",12,http://www.mangaupdates.com/series.html?id=3217,1,0,0
Complete,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Comedy, Ecchi, Harem, Romance, SchoolLife, Shounen, Supernatural",0,0,0,0,0,0,0,Kami Sen.,1,0,0,"From : Izumi Koutarou's family have lived in Izumi Hot Spring for generations. But the spring suddenly dried up a couple of years ago, resulting in a huge family debt. As they prepare to skip town to flee from debt collectors, the guardian deity of the house, Konoha-sama, appears. Konoha-sama, (who was supposed to be a really fearsome god), appears instead as a cute girl--wearing no clothes. What will happen to their family debt problem? And what is the power of Konoha-sama? ",5,http://www.mangaupdates.com/series.html?id=41920,1,0,0
Complete,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Adult, Harem, Hentai",0,0,0,0,0,0,0,Kan,0,0,0,"Collection of Stories/One-shots. 1. The Mother (Kan is Commit Adultery) 2. The Mother (On the Mother, In the Mother) 3. Itsuka Academy Girl's Softball (Gokagakuin Softball): Club Group Violence Incident 4. Itsuka Academy Girl's Softball (Gokagakuin Softball): Training Camp Section 5. Itsuka Academy Girl's Softball (Gokagakuin Softball): Going Home Section 6. Itsuka Academy Girl's Softball (Gokagakuin Softball): Farewell Section 7. I Don't Love My Father (I Don't Like Fother) ",1,http://www.mangaupdates.com/series.html?id=23645,0,1,0
Complete,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Adult, Harem, Seinen",0,0,0,0,1,0,0,Kangei! Miboujin Yokochou,0,0,0,N/A ,1,http://www.mangaupdates.com/series.html?id=36602,0,0,0
Complete,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Adult, Comedy, Harem, SchoolLife, Seinen, Supernatural, Yuri",0,0,0,0,1,0,0,Kaminomi,0,0,0,"In the war of heaven and hell, the angels have been defeated, heaven has been taken over by demons and the angels´ king, God, has been captured. He is sentenced to death and is awaiting execution. All seems to be lost, but the angels have one last hope and that is the Fruit of God. There are only 12 of these rare artifacts left and it gives any mortal who eats one the power equivalent to God himself. Chris, an angel, has been given the task of finding 12 individuals worthy of this power, giving the fruit to them, and using them as the weapon they need to fight against the demons. But things go terribly wrong and Kamishirosawa Kaya, a regular teenage girl, ends up consuming all 12 of them, giving her 12 times the power of God and, at the same time, making her the one and only hope for the heavens. ",3,http://www.mangaupdates.com/series.html?id=52686,1,0,0
Complete,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Comedy, Ecchi, Harem, Mature, Romance, SchoolLife, Seinen",0,1,0,0,1,0,0,Kangoku Gakuen,0,0,0,"Hachimitsu Private Academy was a revered and elite all-girls’ boarding school on the outskirts of Tokyo…once upon a time. But with the new school year comes a revision to school policy: Boys are to be admitted into the student body for the first time ever. But on his first day at Hachimitsu, Kiyoshi Fujino discovers that he’s one of only five boys enrolled at the school. Their numbers overwhelmed by the thousand girls in the student body, is it heaven or hell that awaits these five (un)fortunates?! Note: Was one of two winners of the Best General Manga award alongside at the 37th Kodansha Manga Award in 2013. ",28,http://www.mangaupdates.com/series.html?id=63043,1,0,0
Complete,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Action, Comedy, Ecchi, Harem, Romance, SchoolLife, Shounen, Supernatural",0,0,0,1,0,0,0,Kamigoroshihime Zilch,1,0,0,"Following the untimely passing of his childhood friend and his little sister, Io Haruomi is constantly haunted by their deaths, forever feeling powerless and unable to escape the guilt he feels for letting them die. Despite this, he continues to press forward, attempting to enjoy an ordinary life. He goes to high school, hangs out with his friends, and generally passes himself off as a normal 2nd-year high school student. One day, however, Haruomi encounters an ""Eda"", a girl with glowing red eyes and demonic powers. Amidst her escape from the ""Seven Great Gospel Organizations"", she reveals that he too is an Eda, and the powerlessness he feels is completely unfounded. Before he knows it, Io Haruomi is thrown into the middle of a battle between man and devil. And as his eyes too begin to glow red, the side he is on is no longer so clear. ",5,http://www.mangaupdates.com/series.html?id=114671,1,0,0
Complete,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"Harem, Romance, Shoujo, Supernatural",0,0,0,0,0,0,0,Kamigami no Asobi Anthology,0,0,0,N/A ,1,http://www.mangaupdates.com/series.html?id=136921,0,0,0
Complete,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,"Adventure, Comedy, Drama, Fantasy, Harem, Romance, Shoujo, Supernatural",1,0,0,0,0,0,1,Kamikami Kaeshi,0,0,0,"Mashiro has spent the last thirteen years of her life locked away in a room as she protects the gods that live in her hair, being slowly restored. However, when the door opens to the room and she stumbles outside, she finds that things are not how they seem, and the gods are unleashed. ",8,http://www.mangaupdates.com/series.html?id=58466,0,0,0
